source_file,source_type,canonical_origin,generated_at,content_families_strongest,total_entities,indexable_servers,editorial_nodes,verified_servers,publication_authority,migration_designation
"ROUTE_REGISTRY.json","route-registry","https://www.mcpserver.in","2026-08-04T21:48:46.123Z","category-hub, guide-hub, server-hub, client-hub, comparison-hub, pillar-hub, troubleshooting-hub, best-hub","60135 route records",0,82,0,"isServerIndexable() from @mcp/servers-registry (SINGLE authority)","migration-source - reference only; does not publish directly"
"CONTENT_INVENTORY.json","content-inventory","https://www.mcpserver.in","2026-08-04","mcp-server-profile, integration-guide, client-integration-guide, tutorial, troubleshooting, comparison, best-list, category-hub, glossary, enterprise-guide, sdk-framework-guide, client-guide, deployment-guide, database-guide, security-guide, template, example-project, registry-guide, india-guide, news-release","41515 content records",0,0,0,"content-team ownership (feeds INTO single authority)","migration-source - evidence feed only"
"PUBLICATION_REGISTRY.json","publication-registry","https://www.mcpserver.in","2026-08-06T07:33:33.860Z","all 5000 candidate families with gates: publish_approved && published && indexable","135006 publication entries",0,0,0,"publish_approved && published && indexable (SINGLE authority - gated)","migration-source - gated review flow; not active publisher until gates pass"
"SITEMAP_REGISTRY.json","sitemap-registry","https://www.mcpserver.in","2026-08-04T21:48:46.123Z","mcp-server-profile(700), integration-guide(700), client-integration-guide(400), tutorial(350), troubleshooting(350), comparison(250), best-list(120), category-hub(100), glossary(350), enterprise-guide(170), sdk-framework-guide(220), client-guide(120), deployment-guide(170), database-guide(170), security-guide(170), template(120), example-project(170), registry-guide(80), india-guide(200), news-release(90)","5000 candidate URLs",0,82,0,"candidate_urls_excluded_from_sitemaps; indexable when gates pass","migration-source - sitemap partitions activate when publish_approved && published && indexable"
"mcpservers-master GitHub repo (CodesbyFebin/mcp-servers-master)","source-repo","https://github.com/CodesbyFebin/mcp-servers-master","2026-09-09T00:03:13.674Z","app-mcpserver-in/apps/web directory structure, production branch default","29 root entries, 0 submodules",0,0,0,"no direct publication authority - content merged into MCP-SERVERS canonical path","migration-reference-source - production branch contains app-mcpserver-in; content consolidated into MCP-SERVERS for www.mcpserver.in publication"
"MCP-SERVER GitHub repo (CodesbyFebin/MCP-SERVER)","source-repo","https://github.com/CodesbyFebin/MCP-SERVER","2026-08-22T06:13:48.000Z","main and production branches, src/api/lib/scripts areas","29 root entries, 0 submodules",0,0,0,"no direct publication authority - migration/reference only","migration-reference-source - main branch was prior repo; production branch secondary; all content consolidated into MCP-SERVERS for www.mcpserver.in"
"live site www.mcpserver.in","live-site","https://www.mcpserver.in","2026-09-10T08:54:07.814Z","200 routes probed: /, /mcp-server, /mcp-architecture, /mcp-client, /mcp-server-directory, /how-to-build-mcp-server, /categories, /guides, /servers, /glossary, /evidence, /methodology, /capabilities, /pillars, /clients, /integrations, /templates, /compare, /learn/*, /troubleshooting, /best, /benchmarks, /deployment, /security, /about, /contact","200 probed routes",0,82 editorial nodes,0 verified servers,"robots.txt policy + live health SHA d80c461505304679b12c1ce225b6d1d0dc501ff9 (SINGLE authority - pending SHA reconciliation)","migration-target - final destination for consolidated content; publication authority under reconciliation"
"IndexNow submission","indexing-service","https://www.mcpserver.in","Vercel postbuild log for dpl_DioQkZtwuasdoVSVCo7HexPCztf2","1181 URLs submitted, response 200","1181 submitted URLs",0,0,0,"IndexNow transport only; not Google indexing evidence","migration-transport - delivery mechanism; does not prove indexation"
"phase-a-url-inventory.csv","url-inventory","https://www.mcpserver.in","2026-08-04T21:48:46.123Z","100 authority URLs with publish_approved=true","100 URL records",0,0,0,"publish_approved (gated; not all indexable)","historical-inventory - Phase A authority set; evidence for migration ledger, not live publisher"
"mcpserver-5000-url-master.csv","url-master-inventory","https://www.mcpserver.in","2026-08-04T21:48:46.123Z","5000 candidates across 21 content families, all indexable=false, publish_approved=false by default","5000 candidate records",0,82,0,"all candidates start indexable=false, publish_approved=false; publish_approved=true required for sitemap inclusion","master candidate inventory; publication gated - fail-closed state"
"search-console.json (evidence)","gsc-evidence","https://www.mcpserver.in","2026-08-04T21:13:23.574Z","10 prepared URLs for inspection","10 URL records",0,0,0,"pending-external-access; no GSC token - INDEXED/SUBMITTED/DISCOVERED_NOT_INDEXED classifications approximate only","GSC access not available - historical preservation evidence only; not current indexing proof"
"llms-full.txt (live)","llms-full","https://www.mcpserver.in","2026-09-09T00:03:13.648Z","82 editorial entries, 0 verified servers","82 editorial records",0,82,0,"generated 2026-09-09T00:03:13.648Z; editorial entries from live crawl; verified servers: 0","live-llms-full - editorial surface; feeds INTO single publication authority; no verified servers"
"llms.txt (live)","llms-core","https://www.mcpserver.in","2026-09-09T00:03:13.674Z","core pages list: /servers, /pillars, /categories, /capabilities, /clients/claude-code, /evidence, /methodology, /editorial-policy, /about","core page references",0,82,0,"generated 2026-09-09T00:03:13.674Z; core LLM ingestion surface; feeds INTO single publication authority","live-llms-core - LLM surface; feeds INTO single publication authority"
