base_path,base_slug,variant_count,indexed_variant_count,migration_status,target_priority,evidence_needed,notes
"/glossary/mcp-alert-manager","mcp-alert-manager",1,1,"PENDING","P1","Primary source definition for mcp-alert-manager","1 legacy variants consolidate to this base concept"
"/glossary/mcp-analytics-platform","mcp-analytics-platform",1,1,"PENDING","P1","Primary source definition for mcp-analytics-platform","1 legacy variants consolidate to this base concept"
"/glossary/mcp-api-client","mcp-api-client",1,1,"PENDING","P1","Primary source definition for mcp-api-client","1 legacy variants consolidate to this base concept"
"/glossary/mcp-api-gateway","mcp-api-gateway",2,2,"PENDING","P0","Primary source definition for mcp-api-gateway","2 legacy variants consolidate to this base concept"
"/glossary/mcp-async-validator","mcp-async-validator",1,1,"PENDING","P1","Primary source definition for mcp-async-validator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-audit-logger","mcp-audit-logger",1,1,"PENDING","P1","Primary source definition for mcp-audit-logger","1 legacy variants consolidate to this base concept"
"/glossary/mcp-auth-provider","mcp-auth-provider",1,1,"PENDING","P1","Primary source definition for mcp-auth-provider","1 legacy variants consolidate to this base concept"
"/glossary/mcp-auto-scaling","mcp-auto-scaling",1,1,"PENDING","P1","Primary source definition for mcp-auto-scaling","1 legacy variants consolidate to this base concept"
"/glossary/mcp-batch-processing","mcp-batch-processing",1,1,"PENDING","P1","Primary source definition for mcp-batch-processing","1 legacy variants consolidate to this base concept"
"/glossary/mcp-block-storage","mcp-block-storage",1,1,"PENDING","P1","Primary source definition for mcp-block-storage","1 legacy variants consolidate to this base concept"
"/glossary/mcp-cache-layer","mcp-cache-layer",2,2,"PENDING","P0","Primary source definition for mcp-cache-layer","2 legacy variants consolidate to this base concept"
"/glossary/mcp-callback-handler","mcp-callback-handler",1,1,"PENDING","P1","Primary source definition for mcp-callback-handler","1 legacy variants consolidate to this base concept"
"/glossary/mcp-canary-deploy","mcp-canary-deploy",1,1,"PENDING","P1","Primary source definition for mcp-canary-deploy","1 legacy variants consolidate to this base concept"
"/glossary/mcp-cdn-service","mcp-cdn-service",1,1,"PENDING","P1","Primary source definition for mcp-cdn-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-certificate-manager","mcp-certificate-manager",1,1,"PENDING","P1","Primary source definition for mcp-certificate-manager","1 legacy variants consolidate to this base concept"
"/glossary/mcp-compliance-checker","mcp-compliance-checker",1,1,"PENDING","P1","Primary source definition for mcp-compliance-checker","1 legacy variants consolidate to this base concept"
"/glossary/mcp-config-map","mcp-config-map",1,1,"PENDING","P1","Primary source definition for mcp-config-map","1 legacy variants consolidate to this base concept"
"/glossary/mcp-container-registry","mcp-container-registry",2,2,"PENDING","P0","Primary source definition for mcp-container-registry","2 legacy variants consolidate to this base concept"
"/glossary/mcp-data-migrator","mcp-data-migrator",1,1,"PENDING","P1","Primary source definition for mcp-data-migrator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-data-pipeline","mcp-data-pipeline",1,1,"PENDING","P1","Primary source definition for mcp-data-pipeline","1 legacy variants consolidate to this base concept"
"/glossary/mcp-data-validator","mcp-data-validator",1,1,"PENDING","P1","Primary source definition for mcp-data-validator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-database-service","mcp-database-service",1,1,"PENDING","P1","Primary source definition for mcp-database-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-decision-engine","mcp-decision-engine",1,1,"PENDING","P1","Primary source definition for mcp-decision-engine","1 legacy variants consolidate to this base concept"
"/glossary/mcp-dependency-check","mcp-dependency-check",1,1,"PENDING","P1","Primary source definition for mcp-dependency-check","1 legacy variants consolidate to this base concept"
"/glossary/mcp-disaster-recovery","mcp-disaster-recovery",1,1,"PENDING","P1","Primary source definition for mcp-disaster-recovery","1 legacy variants consolidate to this base concept"
"/glossary/mcp-dns-provider","mcp-dns-provider",1,1,"PENDING","P1","Primary source definition for mcp-dns-provider","1 legacy variants consolidate to this base concept"
"/glossary/mcp-email-service","mcp-email-service",1,1,"PENDING","P1","Primary source definition for mcp-email-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-event-bus","mcp-event-bus",1,1,"PENDING","P1","Primary source definition for mcp-event-bus","1 legacy variants consolidate to this base concept"
"/glossary/mcp-event-processor","mcp-event-processor",1,1,"PENDING","P1","Primary source definition for mcp-event-processor","1 legacy variants consolidate to this base concept"
"/glossary/mcp-experiment-tracker","mcp-experiment-tracker",1,1,"PENDING","P1","Primary source definition for mcp-experiment-tracker","1 legacy variants consolidate to this base concept"
"/glossary/mcp-file-storage","mcp-file-storage",1,1,"PENDING","P1","Primary source definition for mcp-file-storage","1 legacy variants consolidate to this base concept"
"/glossary/mcp-file-watcher","mcp-file-watcher",1,1,"PENDING","P1","Primary source definition for mcp-file-watcher","1 legacy variants consolidate to this base concept"
"/glossary/mcp-function-orchestrator","mcp-function-orchestrator",1,1,"PENDING","P1","Primary source definition for mcp-function-orchestrator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-graph-database","mcp-graph-database",1,1,"PENDING","P1","Primary source definition for mcp-graph-database","1 legacy variants consolidate to this base concept"
"/glossary/mcp-graphql-gateway","mcp-graphql-gateway",1,1,"PENDING","P1","Primary source definition for mcp-graphql-gateway","1 legacy variants consolidate to this base concept"
"/glossary/mcp-health-check","mcp-health-check",1,1,"PENDING","P1","Primary source definition for mcp-health-check","1 legacy variants consolidate to this base concept"
"/glossary/mcp-http-cache","mcp-http-cache",1,1,"PENDING","P1","Primary source definition for mcp-http-cache","1 legacy variants consolidate to this base concept"
"/glossary/mcp-hyperparameter-tune","mcp-hyperparameter-tune",1,1,"PENDING","P1","Primary source definition for mcp-hyperparameter-tune","1 legacy variants consolidate to this base concept"
"/glossary/mcp-identity-service","mcp-identity-service",2,2,"PENDING","P0","Primary source definition for mcp-identity-service","2 legacy variants consolidate to this base concept"
"/glossary/mcp-key-value-store","mcp-key-value-store",1,1,"PENDING","P1","Primary source definition for mcp-key-value-store","1 legacy variants consolidate to this base concept"
"/glossary/mcp-license-checker","mcp-license-checker",1,1,"PENDING","P1","Primary source definition for mcp-license-checker","1 legacy variants consolidate to this base concept"
"/glossary/mcp-liveness-probe","mcp-liveness-probe",1,1,"PENDING","P1","Primary source definition for mcp-liveness-probe","1 legacy variants consolidate to this base concept"
"/glossary/mcp-load-balancer","mcp-load-balancer",1,1,"PENDING","P1","Primary source definition for mcp-load-balancer","1 legacy variants consolidate to this base concept"
"/glossary/mcp-log-aggregator","mcp-log-aggregator",1,1,"PENDING","P1","Primary source definition for mcp-log-aggregator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-log-rotation","mcp-log-rotation",1,1,"PENDING","P1","Primary source definition for mcp-log-rotation","1 legacy variants consolidate to this base concept"
"/glossary/mcp-logging-service","mcp-logging-service",1,1,"PENDING","P1","Primary source definition for mcp-logging-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-message-broker","mcp-message-broker",1,1,"PENDING","P1","Primary source definition for mcp-message-broker","1 legacy variants consolidate to this base concept"
"/glossary/mcp-message-router","mcp-message-router",1,1,"PENDING","P1","Primary source definition for mcp-message-router","1 legacy variants consolidate to this base concept"
"/glossary/mcp-metric-collector","mcp-metric-collector",1,1,"PENDING","P1","Primary source definition for mcp-metric-collector","1 legacy variants consolidate to this base concept"
"/glossary/mcp-metric-export","mcp-metric-export",1,1,"PENDING","P1","Primary source definition for mcp-metric-export","1 legacy variants consolidate to this base concept"
"/glossary/mcp-ml-model-serving","mcp-ml-model-serving",2,2,"PENDING","P0","Primary source definition for mcp-ml-model-serving","2 legacy variants consolidate to this base concept"
"/glossary/mcp-model-registry","mcp-model-registry",1,1,"PENDING","P1","Primary source definition for mcp-model-registry","1 legacy variants consolidate to this base concept"
"/glossary/mcp-monitoring-tool","mcp-monitoring-tool",1,1,"PENDING","P1","Primary source definition for mcp-monitoring-tool","1 legacy variants consolidate to this base concept"
"/glossary/mcp-nosql-db","mcp-nosql-db",1,1,"PENDING","P1","Primary source definition for mcp-nosql-db","1 legacy variants consolidate to this base concept"
"/glossary/mcp-notification-service","mcp-notification-service",1,1,"PENDING","P1","Primary source definition for mcp-notification-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-object-store","mcp-object-store",1,1,"PENDING","P1","Primary source definition for mcp-object-store","1 legacy variants consolidate to this base concept"
"/glossary/mcp-policy-engine","mcp-policy-engine",1,1,"PENDING","P1","Primary source definition for mcp-policy-engine","1 legacy variants consolidate to this base concept"
"/glossary/mcp-polling-service","mcp-polling-service",1,1,"PENDING","P1","Primary source definition for mcp-polling-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-process-monitor","mcp-process-monitor",1,1,"PENDING","P1","Primary source definition for mcp-process-monitor","1 legacy variants consolidate to this base concept"
"/glossary/mcp-process-restart","mcp-process-restart",1,1,"PENDING","P1","Primary source definition for mcp-process-restart","1 legacy variants consolidate to this base concept"
"/glossary/mcp-pubsub-system","mcp-pubsub-system",1,1,"PENDING","P1","Primary source definition for mcp-pubsub-system","1 legacy variants consolidate to this base concept"
"/glossary/mcp-push-notification","mcp-push-notification",1,1,"PENDING","P1","Primary source definition for mcp-push-notification","1 legacy variants consolidate to this base concept"
"/glossary/mcp-range-validator","mcp-range-validator",1,1,"PENDING","P1","Primary source definition for mcp-range-validator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-readiness-probe","mcp-readiness-probe",1,1,"PENDING","P1","Primary source definition for mcp-readiness-probe","1 legacy variants consolidate to this base concept"
"/glossary/mcp-replication-service","mcp-replication-service",1,1,"PENDING","P1","Primary source definition for mcp-replication-service","1 legacy variants consolidate to this base concept"
"/glossary/mcp-rule-engine","mcp-rule-engine",1,1,"PENDING","P1","Primary source definition for mcp-rule-engine","1 legacy variants consolidate to this base concept"
"/glossary/mcp-schema-registry","mcp-schema-registry",1,1,"PENDING","P1","Primary source definition for mcp-schema-registry","1 legacy variants consolidate to this base concept"
"/glossary/mcp-schema-validator","mcp-schema-validator",1,1,"PENDING","P1","Primary source definition for mcp-schema-validator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-search-engine","mcp-search-engine",2,2,"PENDING","P0","Primary source definition for mcp-search-engine","2 legacy variants consolidate to this base concept"
"/glossary/mcp-secret-management","mcp-secret-management",1,1,"PENDING","P1","Primary source definition for mcp-secret-management","1 legacy variants consolidate to this base concept"
"/glossary/mcp-security-scanner","mcp-security-scanner",1,1,"PENDING","P1","Primary source definition for mcp-security-scanner","1 legacy variants consolidate to this base concept"
"/glossary/mcp-serverless-func","mcp-serverless-func",1,1,"PENDING","P1","Primary source definition for mcp-serverless-func","1 legacy variants consolidate to this base concept"
"/glossary/mcp-sms-gateway","mcp-sms-gateway",1,1,"PENDING","P1","Primary source definition for mcp-sms-gateway","1 legacy variants consolidate to this base concept"
"/glossary/mcp-socket-adapter","mcp-socket-adapter",1,1,"PENDING","P1","Primary source definition for mcp-socket-adapter","1 legacy variants consolidate to this base concept"
"/glossary/mcp-sse-gateway","mcp-sse-gateway",1,1,"PENDING","P1","Primary source definition for mcp-sse-gateway","1 legacy variants consolidate to this base concept"
"/glossary/mcp-ssl-terminator","mcp-ssl-terminator",1,1,"PENDING","P1","Primary source definition for mcp-ssl-terminator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-stream-aggregator","mcp-stream-aggregator",1,1,"PENDING","P1","Primary source definition for mcp-stream-aggregator","1 legacy variants consolidate to this base concept"
"/glossary/mcp-stream-processing","mcp-stream-processing",2,2,"PENDING","P0","Primary source definition for mcp-stream-processing","2 legacy variants consolidate to this base concept"
"/glossary/mcp-subscription-manager","mcp-subscription-manager",1,1,"PENDING","P1","Primary source definition for mcp-subscription-manager","1 legacy variants consolidate to this base concept"
"/glossary/mcp-sync-engine","mcp-sync-engine",1,1,"PENDING","P1","Primary source definition for mcp-sync-engine","1 legacy variants consolidate to this base concept"
"/glossary/mcp-task-queue","mcp-task-queue",1,1,"PENDING","P1","Primary source definition for mcp-task-queue","1 legacy variants consolidate to this base concept"
"/glossary/mcp-task-runner","mcp-task-runner",1,1,"PENDING","P1","Primary source definition for mcp-task-runner","1 legacy variants consolidate to this base concept"
"/glossary/mcp-thread-pool","mcp-thread-pool",1,1,"PENDING","P1","Primary source definition for mcp-thread-pool","1 legacy variants consolidate to this base concept"
"/glossary/mcp-trace-collector","mcp-trace-collector",1,1,"PENDING","P1","Primary source definition for mcp-trace-collector","1 legacy variants consolidate to this base concept"
"/glossary/mcp-trace-export","mcp-trace-export",1,1,"PENDING","P1","Primary source definition for mcp-trace-export","1 legacy variants consolidate to this base concept"
